what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340033688471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340033691825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340033693293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034027813
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034029339
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340034031036
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034032251
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340034033305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034042434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1340034056915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034056947
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034058098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034064525
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1340034082292
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1340034082392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1340034135638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034135651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034137679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034147184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034149129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034150951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034151966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034159325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034168609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034173121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034178948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034253133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034258260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1340034330567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034330580
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340034333688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340034337173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034342361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034415417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034429928
error,log,,,"Unhandled event loop exception",1340034480749
error,log,,,"Unhandled event loop exception",1340034483322
error,log,,,"Invalid project description.",1340034491004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034491075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034496664
error,log,,,"Invalid project description.",1340034519467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340034519576
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034524136
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034526723
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034526826
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034526860
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034527803
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034536509
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034536601
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034536650
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034536671
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034537998
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034538060
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034538092
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034540397
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034540416
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034541229
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034550503
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034551639
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034579737
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034585515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340034585535
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1340034588203
